lemma,part_of_speech,hyponyms
judge's robe,noun,geneva gown
judgement,noun,concurring opinion;dissenting opinion;fatwah;majority opinion;obiter dictum|decision|prejudgment|common sense;discretion;eye;injudiciousness;judiciousness|objectivity;subjectivity|affirmation;arbitration;confession of judgment;default judgment;final judgment;finding;judgment in personam;judgment in rem;judgment of dismissal;judgment on the merits;non prosequitur;opinion;reversal;summary judgment|adjudication;disapproval;estimate;evaluation;justice;logistic assessment;value judgment
judges,noun,alcalde;chief justice;daniel;doge;justiciar;magistrate;ordinary;praetor;qadi;recorder;trial judge;trier|appraiser;arbiter;critic
judges,verb,referee|accept;approve;assign;calculate;choose;declare;disapprove;disapprove;expect;fail;impute;measure;pass;prejudge;rate;reappraise;reject;review;stand;test;think|assess;give;guesstimate;lowball;make;misgauge;place;quantize;reckon;truncate|acquit;convict;disqualify;intonate;qualify;rule;tout|court-martial
judging,noun,prejudgment
judging,verb,referee|accept;approve;assign;calculate;choose;declare;disapprove;disapprove;expect;fail;impute;measure;pass;prejudge;rate;reappraise;reject;review;stand;test;think|assess;give;guesstimate;lowball;make;misgauge;place;quantize;reckon;truncate|acquit;convict;disqualify;intonate;qualify;rule;tout|court-martial
judgment,noun,decision|adjudication;disapproval;estimate;evaluation;justice;logistic assessment;value judgment|affirmation;arbitration;confession of judgment;default judgment;final judgment;finding;judgment in personam;judgment in rem;judgment of dismissal;judgment on the merits;non prosequitur;opinion;reversal;summary judgment|prejudgment|concurring opinion;dissenting opinion;fatwah;majority opinion;obiter dictum|objectivity;subjectivity|common sense;discretion;eye;injudiciousness;judiciousness
judgment of conviction,noun,murder conviction;rape conviction;robbery conviction
judicatory,noun,federal judiciary
judicature,noun,appellate court;assizes;chancery;consistory;court;criminal court;divorce court;family court;federal court;foreign intelligence surveillance court;inferior court;inquisition;international court of justice;juvenile court;kangaroo court;military court;moot court;police court;probate court;quarter sessions;rota;star chamber;superior court;supreme court;traffic court;trial court|federal judiciary
judicial decision,noun,affirmation;arbitration;confession of judgment;default judgment;final judgment;finding;judgment in personam;judgment in rem;judgment of dismissal;judgment on the merits;non prosequitur;opinion;reversal;summary judgment
judicial doctrine,noun,jus sanguinis;jus soli;preemption;relation back
judicial principle,noun,jus sanguinis;jus soli;preemption;relation back
judicial proceeding,noun,custody battle;vexatious litigation
judicial system,noun,federal judiciary
judicial writ,noun,assize;attachment;certiorari;court order;fieri facias;habeas corpus;mandamus;scire facias;sequestration;subpoena;subpoena duces tecum;summons;venire facias;warrant;writ of detinue;writ of election;writ of error;writ of prohibition;writ of right
judiciary,noun,federal judiciary
judiciousness,noun,caution
jug,noun,bellarmine;water jug;whiskey jug
jugular vein,noun,anterior jugular vein;external jugular vein;internal jugular vein
juice,noun,carrot juice;gravy;lemon juice;lime juice;papaya juice;tomato juice;v-8 juice|cancer juice;digestive juice
juicer,noun,bar fly;beer drinker;drunk;drunkard;drunken reveler;guzzler;moderationist;tippler;wassailer
jumble,noun,rummage
jumble,verb,addle|tumble
jument,noun,pack animal
jump,noun,quantum leap|quantum jump|startle reflex;startle response;wince|skydiving|capriole;header;hop;jumping up and down;leap;vault
jump,verb,bounce;bounce;burst;caper;capriole;curvet;galumph;hop;hop;leapfrog;pronk;saltate;ski jump;vault;vault|boggle;jackrabbit;rear back;shy|sky dive
jump ball,noun,tip-off
jump rope,noun,double dutch
jumper,noun,parachutist|bounder;hopper;ski jumper|cardigan;pullover;turtleneck|jumper cable
jumper cable,noun,clip lead
jumper lead,noun,clip lead
jumping,noun,broad jump;high jump|capriole;header;hop;jumping up and down;leap;vault
jumping,verb,bounce;bounce;burst;caper;capriole;curvet;galumph;hop;hop;leapfrog;pronk;saltate;ski jump;vault;vault|boggle;jackrabbit;rear back;shy|sky dive
jumping mouse,noun,meadow jumping mouse
junco,noun,dark-eyed junco
junction,noun,interchange;intersection;railway junction;t-junction;traffic circle|anastomosis;synapse|esophagogastric junction|contact;joint;junction barrier;splice;thermojunction
junction rectifier,noun,light-emitting diode
junction transistor,noun,field-effect transistor;p-n-p transistor
juncture,noun,climax;conjuncture;crisis;landmark;milestone;pass;reality check|criticality|esophagogastric junction
june beetle,noun,green june beetle
june bug,noun,green june beetle
juneberry,noun,alderleaf juneberry;bartram juneberry
jungle,noun,concrete jungle
jungle fowl,noun,jungle cock;jungle hen;red jungle fowl
junior college,noun,community college;normal school
juniper,noun,common juniper;creeping juniper;dwarf juniper;ground cedar;mexican juniper;pencil cedar;southern red cedar
junk,noun,slack
junket,noun,airing;field trip
junket,verb,wine and dine
junketing,verb,wine and dine
junkie,noun,cocaine addict;crack addict;heroin addict;opium addict;withdrawer|gym rat
junky,noun,cocaine addict;crack addict;heroin addict;opium addict;withdrawer|gym rat
jurisdiction,noun,abbacy;archbishopric;archdeaconry;bailiwick;caliphate;diocese;justiciary;parish;patriarchate;turf;venue;viceroyalty
jurisprudence,noun,contract law;corporation law;matrimonial law;patent law|administrative law;canon law;civil law;common law;international law;law of the land;martial law;mercantile law;military law;mosaic law;securities law;shariah;statutory law;tax law
jurist,noun,mufti|alcalde;chief justice;daniel;doge;justiciar;magistrate;ordinary;praetor;qadi;recorder;trial judge;trier
juror,noun,foreperson;petit juror
jury,noun,grand jury;hung jury;petit jury;special jury
juryman,noun,foreperson;petit juror
jurywoman,noun,foreperson;petit juror
justice,noun,fairness;right|administration|alcalde;chief justice;daniel;doge;justiciar;magistrate;ordinary;praetor;qadi;recorder;trial judge;trier
justification,noun,cause;defense
justness,noun,fairness;right
jut,noun,belly;caput;frontal eminence;mogul;nub;occipital protuberance;snag;wart
jut,verb,bulge;cantilever;overhang;spear;thrust
juvenile body,noun,child's body
juvenile person,noun,adolescent;child;ingenue;preteen;young person
juxtaposition,noun,tessellation
kabob,noun,souvlaki
kachin,noun,jinghpo
kachinic,noun,jinghpo
kadai,noun,kam-sui;tai
kadai language,noun,kam-sui;tai
kail,noun,collard|collards
kala azar,noun,cutaneous leishmaniasis;mucocutaneous leishmaniasis;visceral leishmaniasis
kale,noun,collard|collards
kalmia,noun,mountain laurel;sheep laurel;swamp laurel
kam-tai,noun,kam-sui;tai
kamarupan,noun,bodo-garo;kuki;mikir-meithei;miri;naga
kanarese,noun,badaga
kangaroo,noun,giant kangaroo;musk kangaroo;rat kangaroo;wallaby
kangaroo rat,noun,ord kangaroo rat|bettong;jerboa kangaroo;potoroo
kannada,noun,badaga
karyon,noun,pronucleus;subthalamic nucleus
katydid,noun,mormon cricket
kauri pine,noun,amboina pine;dundathu pine;kauri;red kauri
kayo,noun,technical knockout
kazakhstani monetary unit,noun,tenge;tiyin
kebab,noun,souvlaki
kechua,noun,inca
keel,noun,bilge keel
keenness,noun,steel trap|ardor|acuteness
keep,noun,comforts;maintenance;meal ticket;subsistence
keep,verb,conserve;continue;distance;hold over;housekeep;preserve;pressurize|hold;ride;run on|carry over;deny;harbor;retain;save;store;store;withhold|blank;defend;exclude;hold;impede;keep away;rain out|make good|conserve|carry;patronage;reseed|commemorate;mourn;solemnize|confine;control;hold;inhibit|herd|can;conserve;corn;cure;dehydrate;freeze-dry;pickle;refrigerate;salt
keeper,noun,baby farmer;babyminder;babysitter;nanny;prison guard|caretaker;curator;gamekeeper;greenskeeper;house sitter;janitor;lighthouse keeper;pet sitter;zoo keeper
keeping,noun,hands|storage;withholding
keeping,verb,conserve;continue;distance;hold over;housekeep;preserve;pressurize|hold;ride;run on|carry over;deny;harbor;retain;save;store;store;withhold|blank;defend;exclude;hold;impede;keep away;rain out|make good|conserve|carry;patronage;reseed|commemorate;mourn;solemnize|confine;control;hold;inhibit|herd|can;conserve;corn;cure;dehydrate;freeze-dry;pickle;refrigerate;salt
keepsake,noun,love-token;party favor
keg,noun,firkin;powder keg
kelp,noun,sea tangle
kelt,noun,briton;gael;gaul
kendall test,noun,coefficient of concordance;kendall partial rank correlation;tau coefficient of correlation
kenyan monetary unit,noun,kenyan shilling
kepler's law,noun,kepler's first law;kepler's second law;kepler's third law
kepler's law of planetary motion,noun,kepler's first law;kepler's second law;kepler's third law
kept woman,noun,concubine
keratoplasty,noun,epikeratophakia
keratosis,noun,actinic keratosis;keratosis blennorrhagica;keratosis follicularis;keratosis pilaris;seborrheic keratosis;wart
keratotomy,noun,radial keratotomy
kerchief,noun,headscarf;neckerchief
kerfuffle,noun,convulsion;earthquake;incident;stir;storm;storm center;tumult
kernel,noun,corn|bare bones;hypostasis;quiddity;quintessence;stuff
kerosene,noun,paraffin
kerosene lamp,noun,safety lamp
kerosine,noun,paraffin
kerosine lamp,noun,safety lamp
ketalar,noun,k
ketamine,noun,k
ketamine hydrochloride,noun,k
ketoaciduria,noun,maple syrup urine disease
ketohexose,noun,fructose
ketone,noun,acetone;butanone;flavin;ketone body
ketone body,noun,acetoacetic acid;beta-hydroxybutyric acid
ketonuria,noun,maple syrup urine disease
ketose,noun,ketohexose
ketosteroid,noun,androsterone;cortisone;estrone
kettle,noun,teakettle
kettle of fish,noun,dog's breakfast
keyboard,noun,computer keyboard;piano keyboard;typewriter keyboard
keyboard instrument,noun,accordion;celesta;clavichord;clavier;organ;piano;synthesizer
keynote,noun,c
keystone,noun,quoin
kg,noun,key
khoisan,noun,khoikhoin
khoisan language,noun,khoikhoin
kick,noun,dropkick;goal-kick;goal-kick;place kick;punt|swimming kick
kick,verb,drop-kick;dropkick;place-kick;punt|boot;scuff|place-kick|backbite;bleat;deplore;gripe;grouch;murmur;nag;protest;rail;repine;report;whine
kick up,verb,pick
kicker,noun,dropkicker;place-kicker;punter
kicking,noun,swimming kick|dropkick;goal-kick;goal-kick;place kick;punt
kicking,verb,drop-kick;dropkick;place-kick;punt|boot;scuff|place-kick|backbite;bleat;deplore;gripe;grouch;murmur;nag;protest;rail;repine;report;whine
kickoff,noun,birth;incipiency;terminus a quo;threshold
kickshaw,noun,ambrosia;choice morsel;gelatin;marrow;savory;sweet
kid,noun,bairn;buster;changeling;child prodigy;foster-child;imp;kiddy;orphan;peanut;pickaninny;poster child;preschooler;silly;sprog;toddler;urchin;waif|army brat;baby;female offspring;male offspring;stepchild
kidnaper,noun,crimp;shanghaier
kidnapper,noun,crimp;shanghaier
kidnapping,verb,shanghai
kidney disease,noun,nephritis;nephrosclerosis;polycystic kidney disease;polyuria;renal failure;renal insufficiency
kidney failure,noun,acute renal failure;chronic renal failure
kill,noun,death;deathblow;decapitation;dispatch;electrocution;euthanasia;fell;genocide;homicide;poisoning;sacrifice;slaughter;suffocation;suicide
kill,verb,assassinate;brain;butcher;commit suicide;decapitate;decimate;destroy;dismember;dispatch;draw;drown;electrocute;eliminate;erase;execute;exterminate;impale;lynch;martyr;massacre;murder;neutralize;overlie;poison;poison;put away;saber;sacrifice;shed blood;shoot;smother;stone;strangle;take off;tomahawk;zap|strike down|electrocute
killer,noun,executioner;exterminator;garroter;murderer;poisoner;regicide;suicide
killifish,noun,flagfish;mummichog;rivulus;striped killifish
killjoy,noun,worrier
kiln,noun,brickkiln;dry kiln;limekiln;muffle;oast
kilo,noun,key
kilogram,noun,key
kin group,noun,family;folks;genealogy;mishpocha;totem;tribes of israel
kind-heartedness,noun,mellowness
kindheartedness,noun,mellowness
kindling,verb,rekindle|anger;draw;excite;hurt;infatuate;inflame;interest;invite;overwhelm;prick;rekindle;shame;stimulate;strike a chord;upset
kindness,noun,benevolence;consideration;generosity;loving-kindness|benevolence;consideration;cupboard love;endearment;favor;forgiveness
kine,noun,africander;beef;bull;bullock;cow;dairy cattle;devon;grade;ox;red poll;stirk;welsh
kinescope,noun,color tube
kinetic theory,noun,kinetic theory of heat
kinetic theory of gases,noun,kinetic theory of heat
kinetics,noun,ballistics
kinetosis,noun,airsickness;car sickness;seasickness
kinfolk,noun,dynasty;homefolk;house;name;people
king,noun,king of england;king of france;king of the germans|oil tycoon
king of beasts,noun,lion cub;lioness;lionet
king snake,noun,common kingsnake;milk snake
kingbird,noun,arkansas kingbird;cassin's kingbird;eastern kingbird;grey kingbird
kingcup,noun,common buttercup;creeping buttercup;cursed crowfoot;meadow buttercup;mountain lily;western buttercup
kingdom,noun,lotusland|animalia;fungi;monera;plantae;protoctista|mineral kingdom
kingdom of spain,noun,logrono
kingfisher,noun,belted kingfisher;eurasian kingfisher;kookaburra
kinglet,noun,gold-crowned kinglet;goldcrest;ruby-crowned kinglet
kingsnake,noun,common kingsnake;milk snake
kinsfolk,noun,dynasty;homefolk;house;name;people
kinship,noun,rapport;sympathy|affinity;affinity;brotherhood;consanguinity;descent;fatherhood;marital relationship;motherhood;parentage;sisterhood
kinship group,noun,family;folks;genealogy;mishpocha;totem;tribes of israel
kinsman,noun,male sibling;nephew;uncle
kinsperson,noun,affine
kinswoman,noun,aunt;female sibling;niece
kiosk,noun,confessional;polling booth;prompt box;shower stall;telephone booth;tollbooth;voting booth
kip,verb,bundle;estivate;hibernate;nap;sleep late
kiss,noun,smack;soul kiss|chocolate kiss;meringue kiss;molasses kiss;scotch kiss
kiss,verb,smack
kisser,noun,pudding face
kissing,noun,snogging
kissing,verb,smack
kit,noun,ditty bag;toilet kit|carpenter's kit;first-aid kit;layette;mess kit;sewing kit
kitchen,noun,galley;galley;kitchenette
kitchen appliance,noun,coffee maker;disposal;food processor;hot plate;ice maker;microwave;oven;stove;toaster;toaster oven;waffle iron
kitchen garden,noun,victory garden
kitchen range,noun,charcoal burner;cookstove;electric range;gas range;potbelly;primus stove;spirit stove
kitchen stove,noun,charcoal burner;cookstove;electric range;gas range;potbelly;primus stove;spirit stove
kitchen utensil,noun,cheese cutter;cookie cutter;cooking utensil;grater;kitchenware;masher;mincer;mixer;ricer;rolling pin;seeder;squeezer;tea ball
kite,noun,box kite;sport kite|black kite;swallow-tailed kite;white-tailed kite
kitten-tails,noun,alpine besseya
klavier,noun,harpsichord
knapsack,noun,kitbag
knapweed,noun,great knapweed;jersey knapweed;lesser knapweed;slender knapweed
knavery,noun,charlatanism;falsification;treachery;trick
knee breeches,noun,britches;buckskins;plus fours;trunk hose
knee pants,noun,britches;buckskins;plus fours;trunk hose
knell,verb,toll
knickerbockers,noun,britches;buckskins;plus fours;trunk hose
knickers,noun,britches;buckskins;plus fours;trunk hose
knife,noun,barong;bolo;bowie knife;bread knife;butcher knife;carving knife;case knife;cleaver;drawknife;hunting knife;letter opener;linoleum knife;parang;parer;pocketknife;pruning knife;slicer;surgical knife;table knife|bayonet;dagger;khukuri;machete;shiv;trench knife;yataghan
knife,verb,bayonet;poniard
knife pleat,noun,sunburst pleat
knife thrust,noun,lunge;remise
knight,noun,carpet knight;knight-errant;knight bachelor;knight banneret;knight of the round table;knight templar
kniphofia,noun,poker plant
kniphofia uvaria,noun,red-hot poker
knit,noun,balbriggan;double knit;jersey;stockinet;tricot
knit,verb,purl;rib|loop;purl stitch
knitting,verb,purl;rib|loop;purl stitch
knitting stitch,noun,garter stitch;knit;purl;stockinette stitch
knob,noun,knobble;nailhead|doorknob;stop
knock,verb,admonish;attack;belabor;blame;call on the carpet;come down;denounce;deplore;disparage;harsh on;nitpick;reprehend;reprimand;savage
knocker,noun,defamer;hatemonger;muckraker
knocking,verb,admonish;attack;belabor;blame;call on the carpet;come down;denounce;deplore;disparage;harsh on;nitpick;reprehend;reprimand;savage
knockout drops,noun,mickey finn
knoll,noun,anthill;kopje;molehill
knot,noun,barrel knot;bow;carrick bend;clove hitch;figure eight;fisherman's bend;fisherman's knot;gordian knot;half hitch;hawser bend;hitch;loop knot;love knot;overhand knot;prolonge knot;sheepshank;slipknot;square knot;stopper knot;surgeon's knot;turk's head
knot,verb,macrame
know,verb,keep track;recognize|know the score;master;master|anticipate|relive;taste|have down|fornicate;take
know-how,noun,bag of tricks;method;wisdom
know nothing,noun,aliterate;illiterate
knowingness,noun,feel;self-awareness;sense
knowledge,noun,ability;attitude;cognitive factor;content;episteme;equivalent;history;inability;information;lexis;mind;perception;place;practice;process;process;public knowledge;structure;vocabulary
knowledge base,noun,discipline;region;scientific knowledge
knowledge domain,noun,discipline;region;scientific knowledge
ko,noun,technical knockout
koodoo,noun,greater kudu;lesser kudu
kos,noun,technical knockout
kotow,verb,curry favor
koudou,noun,greater kudu;lesser kudu
kowtow,verb,curry favor
krait,noun,banded krait
kraurosis,noun,kraurosis vulvae
krigia,noun,dwarf dandelion
krill,noun,euphausia pacifica
ks,noun,millenary
kudos,noun,compliment;encomium;eulogy;recommendation;superlative
kudu,noun,greater kudu;lesser kudu
kulanapan,noun,pomo
kumquat,noun,marumi;nagami
kumquat tree,noun,marumi;nagami
kurd,noun,peshmerga
kuwaiti monetary unit,noun,kuwaiti dinar;kuwaiti dirham
kvetch,verb,backbite;bleat;deplore;gripe;grouch;murmur;nag;protest;rail;repine;report;whine
kwa,noun,akan;ewe;yoruba
kyrgyzstani monetary unit,noun,som;tyiyn
lab,noun,biology lab;chemistry lab;defense laboratory;physics lab
label,noun,gummed label;tag;tag;title bar
label,verb,address;call;name;stigmatize|badge;brand;calibrate;code;point;point;point|acquit;convict;disqualify;intonate;qualify;rule;tout
labial artery,noun,inferior labial artery;superior labial artery
labial consonant,noun,bilabial;labial stop
labial vein,noun,venae labiales anteriores;venae labiales posteriores|inferior labial vein;superior labial vein
labiatae,noun,mint
labium,noun,labia majora;labia minora
labor,noun,labor force;lumpenproletariat;organized labor|corvee;drudgery;effort;hackwork;haymaking;hunt;manual labor;overwork;roping;slavery|premature labor|industrial workers of the world;unionism|adventure;assignment;baby;cinch;enterprise;labor of love;marathon;no-brainer;proposition;tall order;venture
labor,verb,strive
labor agreement,noun,yellow-dog contract
labor contract,noun,yellow-dog contract
labor movement,noun,industrial workers of the world;unionism
labor party,noun,australian labor party;british labour party
labor union,noun,company union;craft union;industrial union;industrial workers of the world
laboratory,noun,biology lab;chemistry lab;defense laboratory;physics lab
laborer,noun,agricultural laborer;bracero;cleaner;day laborer;digger;dishwasher;drudge;gandy dancer;gravedigger;hewer;hired hand;hod carrier;itinerant;lumberman;miner;muleteer;platelayer;porter;rail-splitter;sawyer;section hand;sprayer;stacker;steeplejack;stevedore;stoker;woodcutter;wrecker;yardman
labour,noun,labor force;lumpenproletariat;organized labor|premature labor|corvee;drudgery;effort;hackwork;haymaking;hunt;manual labor;overwork;roping;slavery
labour,verb,strive
labour party,noun,australian labor party;british labour party
labourer,noun,agricultural laborer;bracero;cleaner;day laborer;digger;dishwasher;drudge;gandy dancer;gravedigger;hewer;hired hand;hod carrier;itinerant;lumberman;miner;muleteer;platelayer;porter;rail-splitter;sawyer;section hand;sprayer;stacker;steeplejack;stevedore;stoker;woodcutter;wrecker;yardman
lac,noun,garnet lac;gum-lac;seed lac;shellac;stick lac
lace,noun,bootlace;shoelace|brussels lace;filet;macrame;pillow lace;point lace
lace,verb,pleach;ravel;splice;wattle;wreathe|relace
lacertid,noun,green lizard;sand lizard
lacertid lizard,noun,green lizard;sand lizard
lacewing,noun,brown lacewing;green lacewing
lacewing fly,noun,brown lacewing;green lacewing
lachrymator,noun,chloroacetophenone;chlorobenzylidenemalononitrile;nitrochloromethane
lacing,noun,bootlace;shoelace|flagellation;whipping
lacing,verb,pleach;ravel;splice;wattle;wreathe|relace
lack,noun,absence;dearth;deficit;mineral deficiency;shortness;stringency
lack,verb,exclude;want
lackey,noun,apple polisher;goody-goody
lacquer,noun,japan
lacquer,verb,japan
lacquerware,noun,japan
lacrimator,noun,chloroacetophenone;chlorobenzylidenemalononitrile;nitrochloromethane
lactobacillus,noun,acidophilus
lactogen,noun,prolactin
lad,noun,dog
ladder,noun,articulated ladder;extension ladder;jacob's ladder;monkey ladder;rope ladder;scaling ladder;sea ladder;step ladder
ladies' man,noun,undoer
ladies' slipper,noun,california lady's slipper;clustered lady's slipper;common lady's-slipper;moccasin flower;mountain lady's slipper;ram's-head;yellow lady's slipper
ladies' tresses,noun,european ladies' tresses;hooded ladies' tresses;screw augur;western ladies' tresses
lading,verb,slop|bomb up;overload;pack;reload;stack
ladle,noun,dipper;scoop;soup ladle
ladle,verb,slop
lady,noun,begum|grande dame;madame|baroness;countess;duchess;lady-in-waiting;marchioness;milady
lady's slipper,noun,california lady's slipper;clustered lady's slipper;common lady's-slipper;moccasin flower;mountain lady's slipper;ram's-head;yellow lady's slipper
lady's tresses,noun,european ladies' tresses;hooded ladies' tresses;screw augur;western ladies' tresses
lady-slipper,noun,california lady's slipper;clustered lady's slipper;common lady's-slipper;moccasin flower;mountain lady's slipper;ram's-head;yellow lady's slipper
lady beetle,noun,hippodamia convergens;mexican bean beetle;two-spotted ladybug;vedalia
lady fern,noun,alpine lady fern
lady killer,noun,undoer
lady of pleasure,noun,call girl;camp follower;comfort woman;demimondaine;streetwalker;white slave
lady palm,noun,miniature fan palm;reed rhapis
ladybeetle,noun,hippodamia convergens;mexican bean beetle;two-spotted ladybug;vedalia
ladybird,noun,hippodamia convergens;mexican bean beetle;two-spotted ladybug;vedalia
ladybird beetle,noun,hippodamia convergens;mexican bean beetle;two-spotted ladybug;vedalia
ladybug,noun,hippodamia convergens;mexican bean beetle;two-spotted ladybug;vedalia
lag,noun,interregnum
lag,verb,drag
lager,noun,bock;light beer;malt;munich beer;oktoberfest;pilsner
lager beer,noun,bock;light beer;malt;munich beer;oktoberfest;pilsner
lagger,noun,loiterer;plodder;putterer;straggler
lagging,verb,drag
lagomorph,noun,duplicidentata;leporid;pika
lagoon,noun,liman
lagopus scoticus,noun,moorcock;moorhen
laguna,noun,liman
lagune,noun,liman
laissez-faire economy,noun,capitalism
laissez passer,noun,boarding card;hall pass;ticket-of-leave
lake,noun,bayou;lagoon;loch;lough;oxbow lake;pond;reservoir;tarn
lakota,noun,brule;hunkpapa;miniconju;oglala;sihasapa;two kettle
lam,verb,flee;skedaddle
lama,noun,dalai lama;panchen lama
lamarckism,noun,neo-lamarckism
lamb,noun,baa-lamb;hog;lambkin;persian lamb;teg
lamb roast,noun,leg of lamb;rack of lamb
lambskin,noun,broadtail;persian lamb|vellum
lamellar mixture,noun,pearlite
lamellicorn beetle,noun,scarabaeid beetle;stag beetle
lameness,noun,intermittent claudication
lament,noun,keen
lamenter,noun,pallbearer;wailer;weeper
lamiaceae,noun,mint
lamina,noun,lamina arcus vertebrae
laminate,noun,plastic laminate;plywood
lamination,noun,laminate|veneering
lamp,noun,aladdin's lamp;candle;discharge lamp;electric lamp;flash;fluorescent lamp;gas lamp;hurricane lamp;lantern;limelight;neon lamp;oil lamp;sodium-vapor lamp;spirit lamp;spotlight;streetlight;taillight|floor lamp;reading lamp;table lamp
lamp oil,noun,paraffin
lamper eel,noun,sea lamprey
lampooner,noun,caricaturist
lamprey,noun,sea lamprey
lamprey eel,noun,sea lamprey
lan,noun,ethernet;wireless local area network
lance,noun,assegai;javelin;trident|harpoon;leister
land,noun,farmstead;homestead;no man's land|badlands;bottomland;coastland;cultivated land;overburden;permafrost;polder;rangeland;scablands;turf;wetland|archduchy;barony;duchy;earldom;emirate;empire;fiefdom;grand duchy;khanate;kingdom;principality;sheikdom;suzerainty;viscounty|archipelago;beachfront;cape;coastal plain;floor;foreland;forest;island;isthmus;landmass;mainland;neck;oxbow;peninsula;plain;slash;wonderland|african country;asian country;banana republic;buffer state;european country;fatherland;kingdom;north american country;south american country;sultanate;tax haven|lotusland|barony;countryseat;crown land;entail;fief;freehold;glebe;hacienda;homestead;leasehold;manor;plantation;seigneury;smallholding|british;dutch;english;french;irish;spanish;swiss|ally;city state;commonwealth country;developing country;dominion;foreign country;reich;rogue state;sea power;suzerain;world power
land,verb,alight;beach;belly-land;crash land;disembark;force-land;port;touch down;undershoot|ground;strand
land agent,noun,realtor
land mass,noun,continent;subcontinent
land mine,noun,bouncing betty;claymore mine
land site,noun,apron;bomb site;camp;campsite;cemetery;dig;dump;fairway;green;launching site;monument;premises;rough;tee;toxic site
land tax,noun,council tax
land tenure,noun,copyhold;freehold;villeinage
landed estate,noun,barony;countryseat;crown land;entail;fief;freehold;glebe;hacienda;homestead;leasehold;manor;plantation;seigneury;smallholding
landfill,noun,sanitary landfill
landholder,noun,abutter;franklin;freeholder;laird;landlord;squire
landing,noun,dock|aircraft landing;splashdown;touchdown|amphibious landing;debarkation
landing,verb,alight;beach;belly-land;crash land;disembark;force-land;port;touch down;undershoot|ground;strand
landing approach,noun,overshoot
landing field,noun,airport;airstrip;auxiliary airfield
landing gear,noun,landing skid
landing place,noun,dock
landing strip,noun,flare path
landlord,noun,landlady
landmark,noun,fall of man;road to damascus|merestone|craniometric point
landmass,noun,continent;subcontinent
landowner,noun,abutter;franklin;freeholder;laird;landlord;squire
landslide,noun,mudslide;rockslide
landslip,noun,mudslide;rockslide
lane,noun,bowling alley;free throw lane;seaway;traffic lane
language,noun,artificial language;barrage;dead language;indigenous language;lingua franca;metalanguage;native language;natural language;object language;sign language;slanguage;source language;string of words;superstrate;usage;words|conversation;dictation;discussion;idiolect;monologue;non-standard speech;pronunciation;saying;soliloquy;spell;words|love lyric|reading|markup language;toponymy
language learning,noun,audio lingual acquisition
language lesson,noun,french lesson;german lesson;hebrew lesson
language system,noun,accentual system;morphophonemic system;phonemic system;phonological system;syllabicity;tense system
language unit,noun,collocation;discourse;formative;lexeme;morpheme;name;phone;sign;syllable;word
langue d'oc,noun,provencal
langue d'oc french,noun,provencal
langur,noun,entellus
lantern,noun,chinese lantern;dark lantern;jack-o'-lantern
lanthanide,noun,terbium metal
lanthanoid,noun,terbium metal
lanthanon,noun,terbium metal
laotian monetary unit,noun,at;kip
lap,noun,lap of the gods|cuff;lapel;lappet|pace lap;victory lap
lap,verb,tongue
laparotomy,noun,laparoscopy
lapel,noun,revers
lappic,noun,lapp
lapping,verb,tongue
lappish,noun,lapp
lapse,noun,recidivism
lapse,verb,fly
lapsing,noun,recidivism
lapsing,verb,fly
larceny,noun,biopiracy;breach of trust with fraudulent intent;embezzlement;grand larceny;petit larceny;pilferage;robbery;rustling;shoplifting;skimming
larch,noun,american larch;european larch;siberian larch;subalpine larch;western larch
larch tree,noun,american larch;european larch;siberian larch;subalpine larch;western larch
lard,verb,glorify
larder,noun,stillroom
large indefinite amount,noun,barrels;batch;battalion;billyo;boatload;busload;chunk;infinitude;maximum;mile;million;much;myriad;ocean;ream;small fortune;tons
large indefinite quantity,noun,barrels;batch;battalion;billyo;boatload;busload;chunk;infinitude;maximum;mile;million;much;myriad;ocean;ream;small fortune;tons
large integer,noun,aleph-null;billion;billion;crore;eighteen;eighty;eleven;fifteen;fifty;five hundred;forty;fourteen;great gross;gross;hundred;hundred thousand;long hundred;million;nineteen;ninety;octillion;quadrillion;quadrillion;quintillion;septillion;seventeen;seventy-eight;seventy;sextillion;sixteen;sixty;teens;ten;ten thousand;thirteen;thirty;thousand;trillion;trillion;twelve;twenty-eight;twenty-five;twenty-four;twenty-nine;twenty-one;twenty-seven;twenty-six;twenty-three;twenty-two;twenty
large intestine,noun,colon
large person,noun,fatso;giant
largeness,noun,capaciousness|ampleness;bulkiness;capaciousness;enormousness;fullness;gigantism|ostentation
larid,noun,gull;tern
lark,noun,eastern meadowlark;western meadowlark|meadow pipit|skylark|sexcapade
larva,noun,aphid lion;ascidian tadpole;bladder worm;bot;caseworm;caterpillar;cercaria;doodlebug;grub;hellgrammiate;leptocephalus;mealworm;nymph;strawworm;tadpole;wiggler;wireworm
lash,verb,birch;cat;cowhide;flagellate;horsewhip;leather;switch|urticate|frap
lash-up,noun,temporary hookup
lashings,noun,horsewhipping;self-flagellation
lashings,verb,birch;cat;cowhide;flagellate;horsewhip;leather;switch|urticate|frap
lasiocampid,noun,eggar;lappet;tent-caterpillar moth;webworm moth
lasiocampid moth,noun,eggar;lappet;tent-caterpillar moth;webworm moth
lass,noun,bobbysoxer;lolita
lassie,noun,bobbysoxer;lolita
lassitude,noun,hebetude
last name,noun,maiden name
last word,noun,jauntiness
