lemma,part_of_speech,hyponyms
algonquian,noun,abnaki;algonkian;arapaho;blackfoot;cheyenne;conoy;cree;delaware;fox;illinois;kickapoo;malecite;massachuset;menomini;miami;micmac;mohican;nanticoke;ojibwa;ottawa;pamlico;passamaquody;penobscot;potawatomi;powhatan;sauk;shawnee;wampanoag|abnaki;algonkian;arapaho;blackfoot;cheyenne;cree;delaware;fox;illinois;kickapoo;malecite;massachuset;menomini;micmac;mohican;nanticoke;ojibwa;pamlico;potawatomi;powhatan;shawnee
algonquin,noun,abnaki;algonkian;arapaho;blackfoot;cheyenne;conoy;cree;delaware;fox;illinois;kickapoo;malecite;massachuset;menomini;miami;micmac;mohican;nanticoke;ojibwa;ottawa;pamlico;passamaquody;penobscot;potawatomi;powhatan;sauk;shawnee;wampanoag|abnaki;algonkian;arapaho;blackfoot;cheyenne;cree;delaware;fox;illinois;kickapoo;malecite;massachuset;menomini;micmac;mohican;nanticoke;ojibwa;pamlico;potawatomi;powhatan;shawnee
alien,noun,au pair;exile;gringo;import;metic|foreigner
alien,verb,drift apart;wean
alienated,verb,drift apart;wean
alienating,verb,drift apart;wean
aligned,verb,address;collimate;concenter;realign;synchronize;true|fall in line;side|misalign
aligning,verb,address;collimate;concenter;realign;synchronize;true|fall in line;side|misalign
alleged,verb,plead
allegro,noun,allegro con spirito
alleviated,verb,comfort;soothe
allied,verb,misally
allotted,verb,allocate;allow|enfranchise;give|assign;deal;give;reallot
almighty,noun,hypostasis;trinity
altaic,noun,tungusic|japanese;korean;mongolian;tungusic;turki
